Name,City,Cuisine Style,Ranking,Restaurants Count,Ranking Normalized,Rating,Price Range,Number of Reviews
Grunstern,Vienna,"Cafe, European",3280,3953,0.8297495572982545,4.0,$,1
R'Yves,Paris,"French, European, International",5433,16668,0.3259539236861051,3.5,$$ - $$$,228
Augustiner Schutzen Garten,Munich,"German, Central European",866,3020,0.2867549668874172,4.0,$$ - $$$,110
Dick's Bar,Porto,"Bar, Portuguese, European, Pub",796,1900,0.4189473684210526,4.0,$$ - $$$,39
Buddha Nepal,Stockholm,"Asian, Nepali",1162,2880,0.40347222222222223,4.0,$$ - $$$,14
ROKA Mayfair,London,"Japanese, Sushi, Asian, Grill, Vegetarian Friendly, Vegan Options",1130,19359,0.05837078361485614,4.5,$$$$,979
Pizzeria La Costiera,Milan,"Italian, Pizza, Seafood, Mediterranean",1858,7025,0.26448398576512455,4.0,$,80
Restaurant El Plaer,Barcelona,Spanish,8265,9312,0.8875644329896907,2.5,$,11
Quadro Pizzetterie,Rome,"Italian, Pizza, Fast Food",4863,10586,0.45938031362176457,4.0,$,76
Ristorante Italiano San Cono,Bratislava,Italian,885,1199,0.7381150959132611,3.0,$,9
Green Land Cafe,Dublin,Cafe,1464,2313,0.6329442282749675,3.5,$$ - $$$,36
La nueva Batea,Madrid,"Seafood, Mediterranean, Spanish, Healthy",5480,10890,0.5032139577594124,4.0,$$ - $$$,13
Lykke,Berlin,Cafe,5063,7127,0.7103970815209766,4.0,$$ - $$$,11
Made In Italy King's Road,London,"Italian, Pizza, Neapolitan, Campania, Southern-Italian, European",3539,19359,0.18280902939201404,3.5,$$ - $$$,377
Pizza Pilgrims,London,"Italian, Pizza",4088,19359,0.21116793222790434,4.0,$$ - $$$,140
Restaurant ALvis,Berlin,"German, European, Grill, Cafe, International, Diner, Central European",1303,7127,0.18282587343903467,4.0,$$ - $$$,72
Hong-Yun,Watermael-Boitsfort,"Chinese, Asian",23,28,0.8214285714285714,3.0,$$ - $$$,18
46 & Mercy,London,"Bar, Pub",10830,19359,0.559429722609639,4.5,$$ - $$$,7
Akira Sushi & Streetfood,Berlin,"Japanese, Asian, Thai, Vietnamese",4592,7127,0.6443103690192227,4.5,$,4
"The Swan, Wimbledon",London,"Bar, British, Pub, Healthy, Gastropub",7779,19359,0.40182860684952737,3.5,$$ - $$$,84
The Zoopa,Warsaw,"Polish, International, European, Fusion",1877,3007,0.6242101762554041,5.0,$,2
Square Pie,London,"Cafe, British",1629,1819,0.8955470038482682,3.0,$$ - $$$,18
White Elephant,Zurich,"Asian, Thai",88,1795,0.04902506963788301,4.0,$$ - $$$,460
Argayo,Madrid,Spanish,9599,10890,0.8814508723599632,2.5,$,16
Cafe Phenix,Copenhagen,"American, Diner, Cafe",2009,2333,0.8611230175739392,3.0,$$ - $$$,31
Gaditaun,Madrid,"Spanish, Wine Bar",3810,10890,0.349862258953168,5.0,$$ - $$$,11
Vietnam City,Lyon,Vietnamese,2232,2705,0.8251386321626617,3.0,$,4
Pizzeria La Margaritena,Madrid,"Italian, Pizza, Mexican, Venezuelan, South American",2485,10890,0.22819100091827366,4.5,$$ - $$$,35
Pizza Mix,Rome,"Italian, Pizza, Fast Food",1934,10586,0.18269412431513318,4.5,$,76
La Salumeria Della Musica,Milan,"Italian, Bar",6319,7025,0.8995017793594307,3.0,$$ - $$$,109
Gyoza Ristorante Dim sum - Sushi,Rome,"Japanese, Sushi, Asian, Chinese, Seafood",2633,10586,0.24872473077649726,4.5,$$ - $$$,74
La Tragona Bar de Tapas,Madrid,"Spanish, Bar, Cafe, Mediterranean, Pub",3572,10890,0.3280073461891644,4.5,$,17
Le Biciclette,Milan,"Italian, American, Bar",1705,7025,0.24270462633451959,3.5,$$ - $$$,754
The Financier,Paris,Pub,9222,16668,0.5532757379409647,3.5,$,52
Aya Bistrot,Almada,"Japanese, Sushi, Asian",64,263,0.24334600760456274,4.5,$$ - $$$,26
chao praya,Paris,"Thai, Asian",8304,16668,0.49820014398848095,3.5,$$ - $$$,163
Dean&David Fresh to Eat,Hamburg,"European, Soups, Healthy, Vegetarian Friendly, Vegan Options",174,3157,0.055115616091225846,4.5,$$ - $$$,108
Duke of Wellington,London,"Bar, European, British, Pub, Diner, Gastropub",10000,19359,0.5165556072111163,4.0,$,8
Ginos,Madrid,"Italian, Mediterranean",9733,10890,0.8937557392102846,2.5,$$ - $$$,33
Chutney's,Brussels,"Local cuisine, Belgian, European, Vegetarian Friendly, Vegan Options",205,3526,0.05813953488372093,4.0,$$ - $$$,755
Chez Kim Ly,Paris,"Asian, Vietnamese",5585,16668,0.33507319414446846,4.0,$,40
